dataset,surface,left_uid,right_uid,reference_label,rationale
2wiki,American,doc_1012::gsw_1012_0.json::e4,doc_1136::gsw_1136_0.json::e4,incorrect,"A nationality value is not a shared person identity and becomes a false hub."
2wiki,Italian,doc_1129::gsw_1129_0.json::e3,doc_2586::gsw_2586_0.json::e4,incorrect,"The occurrences are nationality attributes attached to different people."
2wiki,film director,doc_1140::gsw_1140_0.json::e6,doc_1665::gsw_1665_0.json::e6,incorrect,"This is a profession value rather than one named director."
2wiki,actor,doc_1466::gsw_1466_0.json::e4,doc_1979::gsw_1979_0.json::e8,incorrect,"This is a profession value rather than one named actor."
2wiki,One More Time,doc_1238::gsw_1238_0.json::e1,doc_1239::gsw_1239_0.json::e1,incorrect,"The first occurrence is an ambiguous title and the second is a music group."
2wiki,20th Century Fox,doc_1214::gsw_1214_0.json::e13,doc_1219::gsw_1219_0.json::e12,correct,"Both occurrences describe the same film-studio organization."
2wiki,Academy Awards,doc_2147::gsw_2147_0.json::e26,doc_5394::gsw_5394_0.json::e12,correct,"Both occurrences identify the same film-award institution."
2wiki,Adelaide Herrmann,doc_4691::gsw_4691_0.json::e1,doc_4692::gsw_4692_0.json::e6,correct,"Both are the historical magician Adelaide Herrmann."
2wiki,Alexander Herrmann,doc_4691::gsw_4691_0.json::e5,doc_4692::gsw_4692_0.json::e1,correct,"Both are the historical magician Alexander Herrmann."
2wiki,New York City,doc_1219::gsw_1219_0.json::e9,doc_4855::gsw_4855_0.json::e10,correct,"Premiere and residence roles refer to the same city."
2wiki,United States,doc_1221::gsw_1221_0.json::e10,doc_15::gsw_15_0.json::e4,correct,"Country and release-location mentions refer to the same country."
2wiki,comedy film,doc_12::gsw_12_0.json::e5,doc_1981::gsw_1981_0.json::e4,incorrect,"This is a genre value shared by unrelated films."
2wiki,Paris,doc_1665::gsw_1665_0.json::e23,doc_2194::gsw_2194_0.json::e3,correct,"Acting-location and birthplace roles refer to Paris, France."
2wiki,Barcelona,doc_1236::gsw_1236_0.json::e12,doc_1402::gsw_1402_0.json::e10,correct,"Both location roles identify the city rather than the football club."
2wiki,Japan,doc_10::gsw_10_0.json::e2,doc_1481::gsw_1481_0.json::e1,correct,"Both occurrences identify the country."
musique,American,doc_10295::gsw_10295_0.json::e2,doc_10307::gsw_10307_0.json::e4,incorrect,"A nationality value should not connect otherwise unrelated people."
musique,Charles Mingus,doc_1042::gsw_1042_0.json::e3,doc_2908::gsw_2908_0.json::e2,correct,"Both occurrences describe the jazz musician and composer."
musique,Ben Affleck,doc_10048::gsw_10048_0.json::e7,doc_10051::gsw_10051_0.json::e10,correct,"Both person records identify the same actor."
musique,Florida Panthers,doc_2747::gsw_2747_0.json::e3,doc_2749::gsw_2749_0.json::e4,correct,"Both sports-team records identify the NHL team."
musique,National Football League,doc_10307::gsw_10307_0.json::e6,doc_2756::gsw_2756_0.json::e6,correct,"Organization and sports-league roles identify the NFL."
musique,New York City,doc_1035::gsw_1035_0.json::e3,doc_1490::gsw_1490_0.json::e2,correct,"City and licensed-location roles refer to the same city."
musique,United States,doc_10045::gsw_10045_0.json::e3,doc_1036::gsw_1036_0.json::e2,correct,"Both country records identify the United States."
musique,19th century,doc_3644::gsw_3644_0.json::e2,doc_6022::gsw_6022_0.json::e3,incorrect,"The shared time-period value is not an entity instance."
musique,African American,doc_2662::gsw_2662_0.json::e5,doc_962::gsw_962_0.json::e7,incorrect,"The occurrences are ethnicity attributes attached to different people."
musique,Atlantic Ocean,doc_2042::gsw_2042_0.json::e3,doc_2045::gsw_2045_0.json::e4,correct,"Both geographical records identify the same ocean."
musique,Chicago,doc_124::gsw_124_0.json::e10,doc_1284::gsw_1284_0.json::e2,correct,"Both location records identify the city."
musique,London,doc_10077::gsw_10077_0.json::e17,doc_1093::gsw_1093_0.json::e4,correct,"Filming-location and capital-city roles identify London, England."
musique,Paris,doc_10083::gsw_10083_0.json::e5,doc_165::gsw_165_0.json::e5,correct,"Death-place and appearance-location roles identify Paris, France."
musique,Australia,doc_1247::gsw_1247_0.json::e4,doc_1264::gsw_1264_0.json::e5,uncertain,"One record emphasizes the continent and the other the nation; the intended granularity is unclear."
musique,Soviet Union,doc_10880::gsw_10880_0.json::e6,doc_10889::gsw_10889_0.json::e5,correct,"Both records identify the same historical political entity."
